str,en,vi,
ok,OK,OK
cancel,Cancel,Huỷ,
error,Error,Lỗi
error_no_network_connection,Network is disconnected. Please try again later,Không có kết nối mạng. Vui lòng kiểm tra lại,
error_connect_to_server,Could not connect to server,Không thể kết nối tới server,
current_language,English,Tiếng Việt
login_google,Login with Google,Đăng nhập với Google,
login_facebook,Login with Facebook,Đăng nhập với Facebook,
login_email,Login with Email,Đăng nhập với Email,
login_biometry,Login with Biometry,Đăng nhập với sinh trắc học,
login_welcome,Welcome,Xin chào,
login_new_here,"New here? ","Chưa có tài khoản? ",
login_create_account,Create an account,Tạo mới,
login_get_start,Get start to discover this app,Bắt đầu khám phá ứng dụng,
drawer_menu_events,Events,Sự kiện,
drawer_menu_bookmark,Bookmark,Bài viết đã lưu,
drawer_menu_setting,Setting,Cài đặt,
drawer_menu_sign_out,Sign out,Đăng xuất,
profile_title,My Profile,Cá Nhân,
profile_information,Profile Information,Thông tin cá nhân,
profile_edit,Edit,Sửa,
profile_user_name,Username,Tài Khoản,
profile_date_of_birth,Date of birth,Ngày sinh,
profile_bio,Bio,Mô tả,
profile_change_avatar,Change,Đổi,
profile_gallery,Gallery,Thư viện,
profile_camera,Camera,Máy ảnh,
tab_home,Home,Trang chủ,
tab_search,Search,Tìm kiếm,
tab_notification,Notification,Thông báo,
tab_profile,Profile,Cá nhân,
login_success,Login successfully,Đăng nhập thành công
login,Login,Đăng nhập,
email,Email,Email
password,Password,Mật khẩu,
forgot_password,Forgot password?,Quên mật khẩu?,
home,Home,Trang chủ,
logout,Logout,Đăng xuất,
logout_success,Logout successfully,Đăng xuất thành công,
or,Or,Hoặc,
password_is_empty,Password is empty!,Mật khẩu không được để trống!,
password_must_be_at_least_6_characters,Password must be at least 6 characters!,Mật khẩu phải ít nhất 6 ký tự!,
email_empty,Email is empty!,Email không được để trống!,
email_invalid,Email is invalid!,Email không hợp lệ!,
authenticate_failed,Authenticate failed!,Đăng nhập thất bại!,
localized_string_key,Localized String Key,Localized String Key,
device_not_supported,Device not supported!,Thiết bị không được hỗ trợ!,
pin_code_is_empty,Pin code is empty!,Mã PIN không được để trống!,
pin_code_verification,Pin Code Verification,Xác thực mã PIN,
pin_least_6_characters,Pin code must be at least 6 characters!,Mã PIN phải ít nhất 6 ký tự!,
pin_incorrect,Pin code is incorrect!,Mã PIN không đúng!,
pin_correct,Pin code is correct!,Mã PIN đúng!,